comment_id,text,severity_id,target_id,has_pii,link_flagged,annotator,split,notes
dom__0,សម្រាប់អ្នកចង់ស្ដាប់បទពេញ អាចចូលតាមលីងខាងក្រោមបាន អរគុណ nob,0,2,False,False,Layheang,train,
dom__1,អូខេ អ្នកឈ្នះ,0,1,False,False,Oudom,train,
dom__2,កូនខ្មែរម្នាក់ទៀតហើយ...,0,1,False,False,Layheang,train,
dom__3,ឃើញតាំង ចាស់ណាវ តែទើបដាច់ចិត្តបញ្ចេញមតិ loy nas mii jm,1,1,False,False,Oudom,train,
dom_Ngngengrk_4,"Ng ng , eng rk ah ng hee",0,0,False,False,Layheang,train,
dom_Lmom_5,Lmom,0,0,False,False,Layheang,train,
dom__0_2,ចូលតាមដានព៍ត៌មានខ្ញុំម្នាក់មួយដើម្បីតាមដានរឿងថ្មីៗណាបងប្អូន Telegram: [URL] YouTube : [URL] TikTok: [URL],0,0,False,True,Oudom,train,
dom__1_2,កុំភ្លេចមើលអង្ករ ក្នុងពាង លោកអើយ. កម្មពាមានម្ចាស់ តែកូន អត់ដឹងអីទេ… ខ្លាចហើយពាក្យ យុគ៩. (ចុះជំនាន់ពលពត យុគ ប៉ុន្មាន? ),1,0,False,False,Oudom,train,
dom__2_2,កម្មពារ គួរអោយខ្លាចត្រង់ អ្នកទទួលកម្មមិនមែនសមីខ្លួនផ្ទាល់ឡើយបែរជាធ្លាក់ទៅលើសមាជិក ហឹម...,0,1,False,False,heang,train,
dom__3_2,កម្មពារមានពិតតែមនុស្សស្លាប់ទៅផុតកម្មហើយម៉ែអ្នកសាងគាត់អ្នកទទួល គ្មានកម្មពារណាមកធ្លាក់លើអ្នកមិនបានសាងទេ!,1,0,False,False,Oudom,train,
dom__4,អ្នក សាង អ្នក ទទួល ទៅ កុំ រុញ ដាក់ គ្នា,0,1,False,False,Ah ju,train,
dom__5,សម្រាប់ខ្ញុំគិតថាកម្មមិនមែនធ្លាក់លើកូនគាត់ទេ បើតាមខ្ញុំស្តាប់ចាស់គាត់និយាយថាអ្នកដែរគេងសុខស្លាប់មានន័យគាត់អស់កម្មហើយព្រោះគាត់មិបរងទុក្ខមុនពេលស្លាប់ ហើយកម្មអីដែរទតួលបាន គឺបាត់បង់មនុស្សដែលខ្លួនស្រលាញ់ និងត្រូវមនុស្សទូរទាំងប្រទេសស្គាល់ពីសន្តានគាត់,0,0,False,False,heang,train,
dom__0_3,ចង់បានវីដេអូអ្វីបន្ទាប់?,0,0,False,False,Oudom,train,
dom__1_3,ដូចនឹកកូនខ្មែរក្នុង Fc mobile,0,0,False,False,Oudom,train,
dom_11Ad_2,1នាទី 1Ad គ្មានអារម្មណ៍មើលទេ,0,0,False,False,Ah ju,train,
dom_Real_3,ចង់ប៉ះ Real លូវហ្នឹង,0,0,False,False,heang,train,
dom__4_2,ការប្រកួតចុងក្រោយរបស់ពូដូ,0,1,False,False,Ah ju,train,
dom__5_2,បងនិយាយបាល់ល្អណាស់មើលហើយមិនធុញ មិនដូចអាចក់ ស្រែកក៏ស្រែក ជេរគេទៀត អាយ៉ាប់រកលេខដាក់គ្មាន,0,1,False,False,Ah ju,train,
dom__0_4,អាប្រុសមុខដូចមីនតោន,1,1,False,False,Ah ju,train,
dom__1_4,កម្ពុជាអើយកុំដើរលឿនពេក ចាំជប៉ុន និងអាមេរិកផង,0,0,False,False,Ah ju,train,
dom__2_3,អត់កាន់ជើងខាងណាទេ តែតាមមើលទៅនាក់ឃូនិង ដូច ឆ្លេឆ្លាដល់ហើយនេះតិចនោះតិច អាណា ព្រមយកអានិង ហើយបើតាមស្ដាប់គាត់និយាយ ប្រុសដែលគាត់ទាក់ទង គឺគាត់យកលុយទិញក្បាលគេទាំងអស់និង មិនថាអាបុិនិង ហើយនិងសង្សាគាត់ដែ,2,1,False,False,Ah ju,train,
dom__3_3,អ្នកកាសែតរឿងអត់ប្រយោជន៍គួរកុំផ្សាយវាអត់ប្រយោជន៍ធ្វើឱ្យបំពុលសង្គមទោះបីជាសំណូមពរពីប្រជាពលរដ្ឋយ៉ាងណាក៏ដោយត្រូវមើលសាច់រឿងឲ្យច្បាស់។ពាក់ព័ន្ធនឹងបទល្មើសត្រូវកំណត់បើល្មើសឲ្យបានច្បាស់លាស់មុននឹងចេញផ្សាយ,0,2,False,False,jgcbaycha,train,
dom__4_3,ប្រុសអីអន់ម៉្លេះរស់ដោយសារស្រី,1,1,False,False,Ah ju,train,
dom__5_3,គ្រូស្នេហ៍តែរកប្រុសមិនបាន,1,1,False,False,Ah ju,eval,
dom__1_5,ទៅមើលនៅអគ្គក្បាលថ្នល់ឃើញហើយ។ពួកអគ្គធ្វើស៊ីហើយ,1,1,False,False,Ah ju,train,
